Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Church-Yonge Corridor - Toronto,Condo Apt,649000,668307,620000.0,1.0,1,0,2808.0,761.0,700.0,16,E,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,639000,644245,639000.0,1.0,1,0,2537.0,689.0,600.0,17,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,575000,591570,560000.0,1.0,1,0,1931.0,255.0,500.0,18,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,589000,610470,580000.0,1.0,1,0,2489.0,410.0,500.0,20,S,1,1,0,"[500, 600)"
Little Portugal - Toronto,Condo Townhouse,599000,734135,575000.0,2.0,1,1,2040.0,538.0,600.0,34,SW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,625810,575000.0,1.0,1,1,2027.0,477.0,500.0,45,N,1,1,1,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,579000,583719,578000.0,1.0,1,0,1900.0,327.0,0.0,0,E,0,0,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,624900,651091,625000.0,1.33,1,1,2015.0,353.0,500.0,2,SE,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,659900,695909,669908.0,1.33,1,1,2411.0,696.0,700.0,1,NW,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,678000,677140,678000.0,1.0,1,0,2765.0,314.0,0.0,3,W,1,1,0,"[0, 500)"
Yonge-St. Clair - Toronto,Condo Apt,689000,687725,685000.0,2.0,1,0,2405.0,755.0,700.0,3,SW,1,1,0,"[700, 800)"
Bay Street Corridor - Toronto,Condo Apt,699000,705489,690000.0,1.33,1,0,2291.0,386.0,500.0,4,N,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,629000,631678,690000.0,1.0,1,0,2327.0,326.0,500.0,4,NW,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,589000,614128,600000.0,1.0,1,1,1805.0,464.0,500.0,4,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,649999,672154,801000.0,2.33,1,1,2183.0,659.0,700.0,5,S,1,1,1,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,559000,605132,548000.0,1.0,1,1,2748.0,724.0,700.0,6,SE,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,699930,732549,692000.0,1.0,1,0,2966.0,350.0,500.0,11,NW,0,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,569888,578217,561000.0,1.33,1,0,1721.0,414.0,500.0,11,N,1,1,1,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,630000,670212,630000.0,1.33,1,0,2488.0,327.0,600.0,13,N,1,1,0,"[600, 700)"
Little Portugal - Toronto,Condo Apt,632500,637162,652500.0,1.0,1,0,2099.0,428.0,600.0,1,E,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,599900,610538,676000.0,1.0,1,0,2357.0,368.0,500.0,1,NW,1,1,0,"[500, 600)"
Rockcliffe-Smythe - Toronto,Condo Apt,625000,649393,625000.0,3.0,2,1,1979.0,828.0,1200.0,2,SW,1,1,1,"[1100, 1500)"
High Park-Swansea - Toronto,Condo Apt,599999,604582,602000.0,1.33,1,1,1823.0,523.0,600.0,4,W,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,599000,642382,630000.0,1.0,2,1,2303.0,726.0,700.0,11,SW,1,1,1,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,618800,629120,622000.0,1.33,1,0,2171.0,513.0,600.0,10,SW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,679000,680418,685000.0,1.33,2,0,2441.0,398.0,600.0,12,S,1,1,0,"[600, 700)"
