Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality
C5070435,Unit 706 - 35 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,588000,584799,2021-02-09 00:00:00,580000.0,1.0,1,0,2495.0,"Condo Apt, Apartment",496.0,,600.0,,"water,heat",48,33.0,2020-12-23 00:00:00,2021-02-09 00:00:00,1658.0,1.78,Yonge & Bloor,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",N,Toronto
C5056105,Unit 1003 - 25 Lower Simcoe St,Waterfront Communities C1 - Toronto,Condo Apt,560000,557175,2021-02-10 00:00:00,552000.0,1.0,1,0,1949.0,"Condo Apt, Apartment",418.0,6-10,500.0,,"water,heat",68,31.0,2020-12-03 00:00:00,2021-02-10 00:00:00,1713.0,2.18,Lakeshore & Lower Simcoe,"Concierge, Exercise Room, Guest Suites, Gym, Indoor Pool, Visitor Parking",E,Toronto
"C4976677, 40040686",Unit 616 - 7 King St E,Church-Yonge Corridor - Toronto,Condo Apt,609900,603146,2021-02-10 00:00:00,587500.0,1.0,1,1,2225.0,"Condo Apt, Apartment",526.0,,625.0,,"water,hydro,heat",98,37.0,2020-11-03 00:00:00,2021-02-10 00:00:00,1805.0,1.84,Yonge St. & King St. E,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",E,Toronto
C5108527,Unit 1017 - 1030 King St W,Niagara - Toronto,Condo Apt,649900,644096,2021-02-10 00:00:00,656000.0,1.33,1,0,2261.0,"Condo Apt, Apartment",369.0,6-10,600.0,,"water,heat",0,26.0,2021-02-08 00:00:00,2021-02-10 00:00:00,2050.0,2.5,King St W & Shaw,"Concierge, Games Room, Gym, Rooftop Deck/Garden, Security Guard, Visitor Parking",S,Toronto
C5107213,Unit 4103 - 85 Queens Wharf Rd,Waterfront Communities C1 - Toronto,Condo Apt,689000,694936,2021-02-19 00:00:00,685000.0,1.33,1,1,2717.0,"Condo Apt, Apartment",465.0,0-5,600.0,,"water,heat",1,33.0,2021-02-07 00:00:00,2021-02-19 00:00:00,1980.0,1.93,Bathurst & Fort York,"Concierge, Exercise Room, Indoor Pool, Rooftop Deck/Garden, Security Guard, Visitor Parking",S,Toronto
C5106097,Unit 2603 - 87 Peter St,Waterfront Communities C1 - Toronto,Condo Apt,599900,600363,2021-02-17 00:00:00,588000.0,1.0,1,0,2048.0,"Condo Apt, Apartment",294.0,,500.0,,"water,heat",3,30.0,2021-02-05 00:00:00,2021-02-17 00:00:00,1625.0,2.09,Peter & Adelaide,"Concierge, Games Room, Guest Suites, Gym, Party/Meeting Room, Sauna",W,Toronto
C5105084,Unit 3807 - 210 Victoria St,Church-Yonge Corridor - Toronto,Condo Apt,589000,573330,2021-02-09 00:00:00,583500.0,1.0,1,0,1955.0,"Condo Apt, Apartment",444.0,,600.0,,"water,hydro,heat",5,37.0,2021-02-03 00:00:00,2021-02-09 00:00:00,1825.0,2.15,Yonge & Dundas,,S,Toronto
C5104378,Unit 220 - 231 Fort York Blvd,Niagara - Toronto,Condo Apt,579000,592977,2021-02-10 00:00:00,630000.0,1.33,1,1,2147.0,"Condo Apt, Apartment",552.0,,600.0,,"water,heat",4,26.0,2021-02-04 00:00:00,2021-02-10 00:00:00,1775.0,1.88,Lakeshore & Fort York,"Concierge, Guest Suites, Gym, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",W,Toronto
C5103447,Unit 2601 - 1 The Esplanade,Waterfront Communities C8 - Toronto,Condo Apt,599990,610576,2021-02-08 00:00:00,706000.0,1.33,1,0,2627.0,"Condo Apt, Apartment",504.0,,600.0,,"water,heat",6,31.0,2021-02-02 00:00:00,2021-02-08 00:00:00,1913.0,2.03,Yonge St & The Esplanade & Front,"Bike Storage, Concierge, Gym, Outdoor Pool, Rooftop Deck/Garden, Sauna",S,Toronto
C5102350,Unit 520 - 85 East Liberty St,Niagara - Toronto,Condo Apt,599900,626292,2021-02-09 00:00:00,714500.0,2.0,2,1,2339.0,"Condo Apt, Apartment",473.0,,700.0,,"water,heat",6,25.0,2021-02-02 00:00:00,2021-02-09 00:00:00,2800.0,3.72,King & Strachan,,W,Toronto
